NAME,B01003_001E,B02001_002E,B02001_003E,B02001_004E,B02001_005E,B02001_006E,B02001_007E,B02001_008E,B02001_009E,B02001_010E,state,YEAR
New Jersey,9234024,5787873,1225321,24719,900516,3303,675022,617270,380273,236997,34,2021
New Mexico,2109366,1364638,44792,197712,34313,1705,204742,261464,196830,64634,35,2021
New York,20114745,12215118,3058846,83734,1739196,9131,1808007,1200713,642064,558649,36,2021
North Carolina,10367022,6865508,2193147,113719,314690,7119,372381,500458,195529,304929,37,2021
North Dakota,773344,656584,24349,39103,12313,1194,10002,29799,7142,22657,38,2021
Ohio,11769923,9374538,1452530,18416,276828,3899,141320,502392,134108,368284,39,2021
Oklahoma,3948136,2752553,284536,303792,88601,6760,118507,393387,76760,316627,40,2021
Oregon,4207177,3394838,77913,46075,186724,17272,158743,325612,117182,208430,41,2021
Pennsylvania,12970650,10153752,1425210,20511,460932,4426,350618,555201,214311,340890,42,2021
Rhode Island,1091949,841181,69398,4437,37701,689,66575,71968,40384,31584,44,2021
South Carolina,5078903,3334961,1328691,15595,83441,4545,109896,201774,71597,130177,45,2021
South Dakota,881785,728526,19300,73296,12677,753,8714,38519,10937,27582,46,2021
Tennessee,6859497,5198206,1130608,15219,125581,4312,123978,261593,92352,169241,47,2021
Texas,28862581,18566027,3499862,147892,1452713,24608,2019394,3152085,2383697,768388,48,2021
Utah,3231370,2704561,38545,33242,75530,29086,168048,182358,80779,101579,49,2021
Vermont,641637,596282,8166,1520,10759,165,3123,21622,6135,15487,50,2021
Virginia,8582479,5574307,1631941,24007,578210,5313,265361,503340,177168,326172,51,2021
Washington,7617364,5465011,293401,90789,682711,50902,378956,655594,206432,449162,53,2021
West Virginia,1801049,1658405,61143,1911,13882,683,9562,55463,15990,39473,54,2021
Wisconsin,5871661,4894019,372439,45831,166670,2862,130363,259477,106159,153318,55,2021
Wyoming,576641,511179,5242,12987,5046,433,13317,28437,12276,16161,56,2021
Puerto Rico,3311274,1693651,329651,5407,6263,245,714904,561153,389412,171741,72,2021
Alabama,5028092,3329012,1326341,21122,69808,2253,93924,185632,63576,122056,01,2022
Alaska,734821,450472,23395,104957,47464,11209,14597,82727,15138,67589,02,2022
Arizona,7172282,4781702,327077,297590,240642,14116,549361,961794,668727,293067,04,2022
Arkansas,3018669,2193348,456693,16840,47413,11117,89782,203476,106205,97271,05,2022
California,39356104,18943660,2202587,394188,5949136,150531,6388999,5327003,3506890,1820113,06,2022
Colorado,5770790,4393409,233712,57022,185431,8094,283146,609976,375060,234916,08,2022
Connecticut,3611317,2522166,385407,9043,170945,1345,233926,288485,162640,125845,09,2022
Delaware,993635,634244,218266,3309,40570,365,32751,64130,28821,35309,10,2022
District of Columbia,670587,265633,297101,2209,27067,420,30879,47278,20539,26739,11,2022
Florida,21634529,13807410,3355708,59197,609990,13200,1045557,2743467,2089692,653775,12,2022
Georgia,10722325,5820019,3373948,37920,465487,7411,378659,638881,315042,323839,13,2022
Hawaii,1450589,333296,28665,4210,538970,150797,24503,370148,23091,347057,15,2022
Idaho,1854109,1574859,12781,22297,24987,2721,83887,132577,73263,59314,16,2022
Illinois,12757634,8388659,1774605,55819,738071,5476,842553,952451,606350,346101,17,2022
Indiana,6784403,5426227,640752,12465,168899,2490,187740,345830,153259,192571,18,2022
Iowa,3188836,2769619,120619,10111,78940,4582,54569,150396,65729,84667,19,2022
Kansas,2935922,2341473,163581,22015,88513,2729,102461,215150,96078,119072,20,2022
Kentucky,4502935,3816997,360184,6821,69187,3805,56352,189589,68088,121501,21,2022
Louisiana,4640546,2758714,1464582,24952,80363,2361,84387,225187,98242,126945,22,2022
Maine,1366949,1261284,21775,6722,15071,265,8128,53704,21246,32458,23,2022
Maryland,6161707,3154247,1841926,18343,399736,3120,355402,388933,153723,235210,24,2022
Massachusetts,6984205,5075525,498785,14740,487600,2766,347501,557288,322753,234535,25,2022
Michigan,10057921,7617085,1363539,45662,327551,2780,157999,543305,209757,333548,26,2022
Minnesota,5695292,4537219,382082,51434,286146,2324,133098,302989,102874,200115,27,2022
Mississippi,2958846,1685024,1101836,12777,29041,1200,41764,87204,29813,57391,28,2022
Missouri,6154422,4884165,693892,17559,127044,8831,91703,331228,134401,196827,29,2022
Montana,1091840,943827,6026,63493,9211,681,11592,57010,19231,37779,30,2022
Nebraska,1958939,1603239,93555,18550,48874,1318,69315,124088,63635,60453,31,2022
Nevada,3104817,1732783,290223,40745,263063,21884,360620,395499,234103,161396,32,2022
New Hampshire,1379610,1241594,20920,2070,36352,348,15009,63317,29967,33350,33,2022
New Jersey,9249063,5528604,1213265,29780,913364,2554,768606,792890,536450,256440,34,2022
New Mexico,2112463,1250614,44894,198140,34400,1849,233978,348588,278356,70232,35,2022
New York,19994379,11749652,3011116,93384,1767598,9120,1878496,1485013,883505,601508,36,2022
North Carolina,10470214,6800458,2192455,109600,325670,6948,421954,613129,278960,334169,37,2022
North Dakota,776874,656425,25233,36284,12474,1459,10705,34294,10445,23849,38,2022
Ohio,11774683,9281702,1449450,17094,283278,4037,157485,581637,190279,391358,39,2022
Oklahoma,3970497,2716667,284453,298628,91720,7313,124427,447289,118519,328770,40,2022
Oregon,4229374,3328095,79593,46880,187852,17139,180534,389281,168170,221111,41,2022
Pennsylvania,12989208,10010379,1407814,20570,473192,4256,405422,667575,303356,364219,42,2022
Rhode Island,1094250,816308,67615,4072,37881,761,75669,91944,56475,35469,44,2022
South Carolina,5142750,3342861,1326209,15617,85834,2722,123269,246238,103873,142365,45,2022
South Dakota,890342,731624,19525,70948,12754,494,10567,44430,13890,30540,46,2022
Tennessee,6923772,5182736,1126815,14118,128630,4684,139938,326851,140517,186334,47,2022
Texas,29243342,17293460,3552579,169576,1511069,27350,2281525,4407783,3547610,860173,48,2022
Utah,3283809,2705194,37712,32948,77761,30748,174721,224725,114101,110624,49,2022
Vermont,643816,594131,8000,1336,10824,148,3568,25809,9039,16770,50,2022
Virginia,8624511,5473610,1630355,23728,591088,6185,303247,596298,252261,344037,51,2022
Washington,7688549,5374874,301477,91698,708647,53003,399571,759279,292781,466498,53,2022
West Virginia,1792967,1639342,61227,1730,13602,657,9504,66905,22651,44254,54,2022
Wisconsin,5882128,4854979,363331,43759,169052,2261,128690,320056,155464,164592,55,2022
Wyoming,577929,504798,4891,12359,4717,636,16504,34024,17046,16978,56,2022
Puerto Rico,3272382,1425431,286388,5066,6295,279,786315,762608,600716,161892,72,2022
Alabama,5054253,3303370,1318507,22491,71969,2564,107302,228050,93901,134149,01,2023
Alaska,733971,445545,22774,101226,47099,11379,16144,89804,17974,71830,02,2023
Arizona,7268175,4593653,336931,296794,249816,14434,595790,1180757,860447,320310,04,2023
Arkansas,3032651,2148886,452127,16893,47309,12040,91871,263525,157050,106475,05,2023
California,39242785,17248779,2173343,445219,5997069,147827,6820303,6410245,4507269,1902976,06,2023
Colorado,5810774,4268784,232985,58576,187534,8647,315713,738535,481908,256627,08,2023
Connecticut,3598348,2431342,384753,9569,170954,1806,256744,343180,211625,131555,09,2023
Delaware,1005872,621799,220645,3744,41164,403,41233,76884,38807,38077,10,2023
District of Columbia,672079,262549,290772,2044,27465,378,32338,56533,25537,30996,11,2023
Florida,21928881,13136701,3363769,66779,628137,13136,1222567,3497792,2792048,705744,12,2023
Georgia,10822590,5677531,3391689,42058,472915,7338,448586,782473,423987,358486,13,2023
Hawaii,1445635,325356,27740,3835,538807,149030,24334,376533,25989,350544,15,2023
Idaho,1893296,1578020,14108,21532,24979,3098,92163,159396,95208,64188,16,2023
Illinois,12692653,8038512,1750414,66990,738308,5514,920254,1172661,798909,373752,17,2023
Indiana,6811752,5347678,630680,17208,172936,2345,213942,426963,211710,215253,18,2023
Iowa,3195937,2735263,123234,10998,78267,4396,64571,179208,87663,91545,19,2023
Kansas,2937569,2289052,159829,21898,86212,2586,115004,262988,133595,129393,20,2023
Kentucky,4510725,3774581,355237,7610,68482,3737,67198,233880,98773,135107,21,2023
Louisiana,4621025,2678942,1434953,27605,79925,2884,107185,289531,150424,139107,22,2023
Maine,1377400,1258122,23145,6237,15318,276,9593,64709,30068,34641,23,2023
Maryland,6170738,3060731,1825880,23158,398305,2556,401540,458568,210107,248461,24,2023
Massachusetts,6992395,4945674,489390,16406,494890,2593,379870,663572,418724,244848,25,2023
Michigan,10051595,7516312,1346689,46010,329676,2670,176786,633452,279485,353967,26,2023
Minnesota,5713716,4476710,388789,50833,289148,2376,151560,354300,142051,212249,27,2023
Mississippi,2951438,1661873,1090777,13181,28918,1411,49104,106174,41085,65089,28,2023
Missouri,6168181,4831646,686616,16830,127846,9681,106663,388899,177439,211460,29,2023
Montana,1105072,946776,6015,63108,9197,485,13423,66068,25664,40404,30,2023
Nebraska,1965926,1570391,93595,19581,49107,933,83156,149163,83319,65844,31,2023
Nevada,3141000,1670302,295802,41434,274032,22581,370951,465898,288703,177195,32,2023
New Hampshire,1387834,1234149,21164,1923,35818,283,17835,76662,40961,35701,33,2023
New Jersey,9267014,5276142,1201053,41900,918644,2658,848026,978591,702017,276574,34,2023
New Mexico,2114768,1133871,44709,201346,36065,2049,253794,442934,363276,79658,35,2023
New York,19872319,11340944,2927008,102927,1769224,9671,1949904,1772641,1145140,627501,36,2023
North Carolina,10584340,6695587,2178329,110873,333844,6153,506289,753265,381924,371341,37,2023
North Dakota,779361,653820,25209,34916,12187,1127,11146,40956,14818,26138,38,2023
Ohio,11780046,9167192,1446466,17151,288117,4229,186517,670374,254268,416106,39,2023
Oklahoma,3995260,2668453,282536,295365,93550,7706,136607,511043,163012,348031,40,2023
Oregon,4238714,3247656,81642,46276,188624,16973,198863,458680,226533,232147,41,2023
Pennsylvania,12986518,9844085,1393616,23921,480439,4614,445130,794713,403932,390781,42,2023
Rhode Island,1095371,792361,63862,4855,38149,670,78252,117222,76968,40254,44,2023
South Carolina,5212774,3339447,1318630,16823,89723,3642,142798,301711,143401,158310,45,2023
South Dakota,899194,733035,20149,69514,12554,606,12547,50789,18073,32716,46,2023
Tennessee,6986082,5133249,1108897,17288,129226,5037,174679,417706,211764,205942,47,2023
Texas,29640343,15984990,3626137,190706,1581798,29841,2540808,5686063,4725932,960131,48,2023
Utah,3331187,2688129,37772,33869,78887,31483,185734,275313,154601,120712,49,2023
Vermont,645254,589835,7887,1273,10700,120,4413,31026,12469,18557,50,2023
Virginia,8657499,5344175,1623031,27216,593606,5679,351544,712248,344409,367839,51,2023
Washington,7740984,5251386,306214,90212,727603,54406,430575,880588,389215,491373,53,2023
West Virginia,1784462,1622009,58519,1532,13434,513,12055,76400,28644,47756,54,2023
Wisconsin,5892023,4791680,361890,43336,169891,2229,139011,383986,208819,175167,55,2023
Wyoming,579761,498371,4982,11927,4792,499,18121,41069,22342,18727,56,2023
Puerto Rico,3254885,1146311,237762,5598,6035,168,879626,979385,823257,156128,72,2023
